% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-38.62903198905487        0.0031043399030115104    0                        6.6696278130014735E-12
-40.42986090111844        -7.389127075773402       0                        -5434.965062955836
-40.81652843280336        -5.29712987903496        0                        -6023.9380096443965
-40.8602225938756         -1.7489379997131291      -5.551115123125783E-17   -6353.400343904204
-41.10280702045799        -2.6088736550658442      0                        -6350.354906994988
-40.94555064160671        -2.89046662275118        -1.1102230246251565E-16  -6152.099952964768
-39.924816769077424       2.444815494947507        0                        -7632.683434242316
-38.59938000344652        1.6040934759623915       0                        8.48861721654733E-12
-38.5094043606026         3.148182513864137        0                        2.4253192047278085E-12
-39.79133633192748        4.072719084400571        0                        -7347.0566290009465
-41.21397775290043        1.493668873749829        1.6653345369377348E-16   -5886.048372360198
-3.2851891365190378       -39.8641780334566        0                        -1070.6965419594746
-3.2532252711611833       -40.78072131578761       0                        -34.24627774766208
-3.6275655206981376       -40.82713550636498       0                        -50.250261032455995
-1.6367336987470584       -39.96623690933252       0                        -303.7611964357814
-4.966330745296638        -39.68947783711906       0                        -651.6926165631471
-3.998202052940574        -38.49918363082008       0                        2.7095362990318486E-12
-4.36154395664604         -40.37742312010731       5.551115123125783E-17    -230.37333520456653
-3.1790372974106322       -40.96891851550132       0                        320.6674712290029
-5.985298496251722        -40.55128331374087       -5.551115123125783E-17   -594.7650614589506
-5.567726337229416        -38.262349563042214      0                        6.063298011819521E-13
0                         -40                      0                        11196.406415968959
-1.1391373975478931       -41.52303958762857       0                        1733.1458654953415
-1.0204042798698296       -38.86472304675529       0                        5.820766091346741E-12
-40.962909813571954       -8.486254101912658       0                        -4730.196673958541
-41.34451782000086        -1.5557146104708992      0                        -6091.593067754064
-41.88282524300636        0.2796707977941839       0                        -5212.1016857097
-39.59131271131196        5.69630437856644         0                        -6874.119513235194
-38.35023862240349        4.717725579928427        0                        -8.48861721654733E-12
-39.324865684305564       7.312874865948797        0                        -6263.370808769718
-38.10750611078392        6.278769884223083        0                        -8.48861721654733E-12
-38.99205373013243        8.919964463804943        0                        -6366.854415131921
-37.81783435031119        7.842439501383098        0                        5.4569682106375694E-12
-40.63939806624546        5.276540601864726        -5.551115123125783E-17   -5753.415979948291
-40.615674278468475       3.297607978818483        -1.6653345369377348E-16  -6123.581371477898
-38.592521853832054       10.516425139633881       0                        -6476.548536565695
-38.126078410801355       12.099643971165662       0                        -5723.702729495743
-37.032255035722805       10.9184659552861         0                        0
-37.4591338815931         9.386983512423887        0                        7.579122514774403E-12
-37.59266562293857        13.666716136654133       0                        -5836.615482651554
-36.54628557788941        12.452099304652542       0                        1.0762353970979651E-11
-2.4503564167095          -38.520222247011944      0                        5.960438491976155E-12
-39.68391962658899        10.130498744915819       -2.220446049250313E-16   -5177.4508794129815
-40.83919273698241        6.650783215187462        -2.7755575615628914E-17  -5459.39379039887
-40.68851716277895        8.839403444104168        0                        -4899.559106948417
-39.08976310491052        13.353625900905595       5.551115123125783E-17    -4689.896882679523
-39.97982956504438        11.966683498911255       5.551115123125783E-17    -4278.645207542526
-36.32541575606962        16.744944865034338       0                        -5044.810195573065
-35.592459695212          18.25091968371291        0                        -5252.913675001672
-34.69765468985443        16.921989880520773       0                        1.0610771520684163E-12
-35.38494016258909        15.435565242743362       0                        -4.850638409455617E-12
-36.99233027044143        15.215913694799383       0                        -5745.8884777076255
-35.99861738188328        13.936561488611261       0                        4.092726157978177E-12
-38.27338706945803        14.978499655102773       2.7755575615628914E-16   -4881.690445779415
-33.928225591350426       21.185771729666925       0                        -5725.374612370369
-33.16934451456365        19.761167734483646       0                        -3.069544618483633E-12
-34.79347424209683        19.731852953476757       0                        -5321.295903378386
-33.97628506453776        18.350601556044335       0                        6.063298011819521E-13
-37.18934662404414        18.07314151399386        5.551115123125783E-17    -4001.5273104940075
-36.31628032381542        19.300920810173945       0                        -4077.0771080318405
-38.14387021687041        16.85737073029607        0                        -3887.526642212455
-35.09298673039143        20.775101609894538       -1.1102230246251565E-16  -3814.1442708967097
-32.99705471960502        22.609430045591665       0                        -4453.8253571445
-32.286870961844485       21.15989753514655        0                        5.9117155615240335E-12
-32.00054143934682        23.999221880274803       0                        -4435.531514336362
-31.350996633719973       22.521282997768058       0                        -9.852859269206722E-13
-34.46154266452387        22.09120559198072        1.6653345369377348E-16   -3731.7307780835426
-30.939892627142704       25.351399332904258       0                        -4306.97219536851
-30.374909313997094       23.832080583850225       0                        -1.5158245029548805E-12
-33.4431245953777         24.287346223269246       -1.1102230246251565E-16  -3319.3410388866832
-29.816454266461612       26.663023883849032       0                        -3918.0296174615837
-29.304250414432325       25.125740058513355       0                        0
-28.63141890338507        27.93136862940848        0                        -3878.0779355038403
-28.188950608785763       26.36720483415243        0                        3.789561257387201E-12
-32.153285734024934       25.550095830254342       0                        -3351.3915553709003
-27.385247946559296       29.154297050262155       0                        -4110.8196548575925
-27.021529035175988       27.56101719972851        0                        -6.063298011819521E-13
-31.226981363564157       27.035648552947897       0                        -2966.855482858226
-30.610007428609013       27.784238000697044       5.551115123125783E-17    -3404.170763167856
-29.86177059270428        27.986330360512895       5.551115123125783E-17    -3563.5328028919125
-28.67608460444781        29.378368329217317       0                        -3291.7759174137086
-29.96271279764022        28.518046440567126       -5.551115123125783E-17   -3171.6989804809045
-28.947117684385773       29.434393157809208       0                        -3302.504440206309
-28.761812692316575       29.531692901894708       2.7755575615628914E-17   -3092.896082350594
-26.079199929353734       30.328649008935905       0                        -3471.1731068055956
-25.798862483298027       28.697938267625982       0                        5.4569682106375694E-12
-27.559586122527257       30.887847763707857       5.551115123125783E-17    -2475.020843692429
-24.71465916778548        31.451090881091826       0                        -3204.8436674905624
-24.49042976375446        29.78429467660734        0                        4.850638409455617E-12
-23.2927295882434         32.51843050332875        0                        -3377.3061417226677
-23.13089688071476        30.874103579417685       0                        2.7284841053187847E-12
-21.81509846413589        33.5272652675784         0                        -3023.6550859040844
-20.284000872975433       34.47464246116833        0                        -2744.330899367463
-20.25513899326304        32.8347952287162         0                        8.48861721654733E-12
-21.74339664689532        31.86067277325037        0                        -1.8189894035458565E-12
-26.457503087451535       32.20045058988785        0                        -2382.195464532386
-24.605117958630274       32.96201382182086        -1.1102230246251565E-16  -2476.5098727742347
-23.018242653203615       34.199025845725565       -8.326672684688674E-17   -2446.1116319459275
-18.70155510429393        35.35777999493542        0                        -2954.806856877737
-18.750751471244726       33.75986385269882        0                        -2.4253192047278085E-12
-17.07015131640369        36.173679034434656       0                        -2669.3498960802212
-17.133159966022944       34.445803979865964       0                        9.094947017729282E-13
-18.087408378932572       36.69666260849132        -5.551115123125783E-17   -2343.8794354306838
-19.98409719825406        35.73573717559056        2.7755575615628914E-17   -2392.161900968437
-15.582399341176952       35.21247532294036        0                        3.3348139065007367E-12
-15.393976024901065       36.918536201746605       0                        -3601.513835071646
-21.547977117252053       35.46093857379596        -1.1102230246251565E-16  -2035.8192605539655
-18.822181932312823       37.01515291778268        0                        -2151.5306884728097
-16.30573332177944        37.16755821173639        0                        -1964.3298592361693
-18.077626431017713       37.364849100072576       0                        -1856.823496756523
-13.685619606193503       37.58578373416498        0                        -1949.0674423811288
-13.963947540840325       35.96849324557182        0                        4.244308608273665E-12
-10.19523734004611        38.67851530599653        0                        -1706.5273955884325
-8.445018749148105        39.09752172104578        0                        -1790.149675734207
-8.986926958102377        37.50016713133213        0                        4.244308608273665E-12
-11.95016807086156        38.173181922615335       0                        -1951.9559862433264
-10.65879725400885        37.025483710866474       0                        6.366462912410498E-12
-12.28757793609063        36.471237843081454       0                        0
-15.735944938858538       38.746991188483285       5.551115123125783E-17    -1324.2459263739568
-6.706417992210601        39.43270540350991        0                        -1155.6695717490713
-7.33082345163881         37.89693125930164        0                        8.48861721654733E-12
-7.649907228858746        40.41092216107653        0                        -1013.3165725754125
-13.31793909199093        39.060837536158566       0                        -1506.5241247754268
-9.735959426489803        40.0030909231979         0                        -1137.6393076640575
-11.579233734032613       39.59797242665551        0                        -1173.4909350217933
-4.987234445295781        39.68685395538597        0                        -1176.1905079741616
-5.812037781713766        38.19276478161205        0                        5.153803310046594E-12
-3.299186265185391        39.86301860149163        0                        -685.4759441052917
-1.6411672241825979       39.96605403181815        0                        316.36363438815573
-2.481868696131002        38.520370883139464       0                        -6.496390726949487E-14
-4.220275027717805        38.41945001228864        0                        -2.804275330466529E-12
-6.017022000369536        40.689864934244895       1.1102230246251565E-16   -357.292256774638
0                         40                       0                        11299.645024700863
-1.0308486649569488       38.8461892489574         0                        2.1827872842550277E-12
-4.577289052567775        41.30129535572898        1.1102230246251565E-16   32.479940369626945
-0.7734795320241649       40.95910874179096        2.7755575615628914E-17   2419.29680035852
-0.883263063133597        41.10798497136427        0                        1815.7545818516187
-0.6696007245250437       41.05309915259526        0                        3402.8185116539353
-2.445234681489212        41.4791567463556         0                        733.6720003904117
-30.698958850968346       -21.038688361485438      0                        -4.547473508864641E-13
-29.17884988346627        -20.86859066648805       0                        3.941143707682689E-12
-29.721968222722698       -22.28562923181377       0                        2.2737367544323206E-12
-28.155012146621857       -22.01454428477324       0                        -3.031649005909761E-12
-28.730676115898365       -23.504479275794885      0                        5.760133111228545E-12
-32.370805798190204       -18.37033407471776       0                        -6.195932655828074E-12
-31.57366163388975        -19.719553431620724      0                        -1.7053025658242404E-13
