Model:,Luke_electric_field_simulation_V2.mph,,,
Version:,COMSOL,5.6.0.401,,
Date:,Mar,11,"2024,",22:13
Dimension:,3,,,
Nodes:,46324,,,
Expressions:,1,,,
Description:,Multislice,,,
x,y,z,Color,
-37.88144385,-7.08E-15,6.192102734,0.104922579,
-38.99131946,-7.08E-15,6.535706389,0.095134758,
-38.67724973,-7.09E-15,6.378842168,0.097346461,
-38.76112843,-7.13E-15,6.644622673,0.097195558,
-38.7936514,-7.11E-15,6.257118876,0.096112993,
-38.60896027,-7.11E-15,6.163569077,0.097355221,
-38.65864691,-7.12E-15,6.320904933,0.097379711,
-38.60827792,-7.11E-15,6.344613049,0.097824641,
-38.37847259,-7.13E-15,6.45307855,0.099871842,
-38.60829059,-7.08E-15,6.450594145,0.098032866,
-38.99153767,-7.11E-15,6.639979809,0.095341031,
-38.81796034,-7.06E-15,6.82173629,0.097499692,
-38.43533457,-7.13E-15,6.631121576,0.10001475,
-38.60734245,-7.06E-15,6.717112424,0.098875224,
-38.22355398,-7.09E-15,6.525922244,0.10139755,
-38.99111299,-7.08E-15,6.908301022,0.097154898,
-38.99163894,-7.11E-15,6.357497708,0.094778648,
-38.99153643,-7.08E-15,6.046538212,0.094517552,
-38.68229376,-7.11E-15,6.008746952,0.096605105,
-38.99129827,-7.09E-15,6.162937721,0.094613699,
-40.33526824,-7.07E-15,0.741101048,-8011.274186,
-40.32653317,-7.13E-15,0.691448898,-8106.157874,
-40.37855113,-7.09E-15,0.666619705,-8073.561272,
-40.81278252,-7.10E-15,0.88523463,-7095.864995,
-40.74303265,-7.16E-15,0.492645546,-7949.995801,
-40.52722153,-7.10E-15,0.799052913,-7643.446049,
-40.40855819,-7.05E-15,1.157698028,-7222.068611,
-40.82592553,-7.09E-15,0.959210429,-7024.953407,
-40.74831173,-7.11E-15,0.996121261,-7061.62469,
-40.91593076,-7.11E-15,0.916406592,-6982.518561,
-41.02525025,-7.11E-15,0.643879091,-7181.670503,
-41.24329287,-7.05E-15,0.760722829,-6701.21014,
-40.46726625,-7.06E-15,0.016606802,-9434.827698,
-40.59139429,-7.16E-15,-0.052743124,-8836.691507,
-40.49208421,-7.12E-15,-0.208092977,-8642.282558,
-40.33123704,-7.11E-15,-0.457354808,-8330.06039,
-40.5319051,-7.09E-15,-0.568627989,-7255.693338,
-40.7936266,-7.13E-15,-0.714301479,-5848.001008,
-40.58403667,-7.12E-15,-1.040622902,-5436.948926,
-40.70024566,-7.06E-15,-0.113068915,-8253.021359,
-41.05350084,-7.05E-15,-0.30968981,-6351.283059,
-40.89547245,-7.11E-15,-0.555732403,-6045.482797,
-40.63965196,-7.12E-15,0.022745926,-8868.370017,
-41.28162715,-7.10E-15,0.045491852,-6782.104888,
-41.02787515,-7.08E-15,0.036491372,-7607.340714,
-41.02313048,-7.12E-15,-0.841019182,-4649.244808,
-41.435637,-7.10E-15,-0.298685278,-5039.529931,
-41.46287935,-7.11E-15,-0.535723044,-4142.94857,
-41.47439078,-7.11E-15,-0.635884813,-4498.303956,
-41.39561931,-7.11E-15,0.049511737,-6390.781071,
-40.53531728,-7.11E-15,0.090451623,-9057.889331,
-40.68395508,-7.08E-15,0.249393722,-8389.412086,
-40.8708447,-7.04E-15,0.196902863,-7874.88951,
-41.18452191,-7.10E-15,0.10880173,-7012.296571,
-41.31680484,-7.09E-15,0.071648009,-6649.178724,
-39.99366638,-7.11E-15,3.156267467,-6264.521495,
-40.0216972,-7.11E-15,3.171042095,-6253.870829,
-40.01190562,-7.11E-15,3.146883468,-6261.985341,
-39.99238637,-7.11E-15,3.606107237,-6159.762731,
-40.25045795,-7.11E-15,3.742293264,-6061.252494,
-40.16028263,-7.08E-15,3.519571101,-6136.267663,
-40.42308018,-7.11E-15,3.383930549,-6098.983649,
-40.4931279,-7.09E-15,3.420829526,-6069.839498,
-40.46856013,-7.09E-15,3.360480141,-6092.607026,
-40.05783169,-7.11E-15,3.123221368,-6255.510492,
-40.42325916,-7.09E-15,3.247184648,-6130.748731,
-40.31881987,-7.22E-15,2.987621559,-6218.614853,
-39.99385941,-7.11E-15,3.101547243,-6277.282803,
-39.99371589,-7.11E-15,3.207920981,-6252.534786,
-40.26426169,-7.13E-15,2.849539782,-6275.813625,
-40.58311556,-7.11E-15,3.301329747,-6072.96063,
-40.42234035,-7.13E-15,2.933760533,-6211.423187,
-40.42348942,-7.09E-15,3.512926599,-6067.322535,
-39.99286984,-7.11E-15,4.028437986,-6061.689582,
-40.0253662,-7.10E-15,4.039445618,-6043.080762,
-40.73504148,-7.12E-15,3.099216075,-6088.966082,
-39.99278215,-7.11E-15,4.055745319,-6041.279071,
